iteration,between_chain_ess,rhat,converged,window
50,125.33131912821163,0.9899494936611666,False,1
50,199.31963768348962,0.9899494936611666,False,2
50,199.44974859832647,0.9899494936611666,False,3
50,199.36122170549598,0.9899494936611666,False,4
50,199.93091974167646,0.9899494936611666,False,5
50,199.94379461185216,0.9899494936611666,False,6
50,198.86270011380154,0.9899494936611666,False,7
50,199.57733422670577,0.9899494936611666,False,8
50,198.86606034690456,0.9899494936611666,False,9
50,198.9515764408537,0.9899494936611666,False,10
50,199.70405668645168,0.9899494936611666,False,11
50,199.24022435015866,0.9899494936611666,False,12
50,199.65084826055755,0.9899494936611666,False,13
50,199.91922270746753,0.9899494936611666,False,14
50,198.8993071426693,0.9899494936611666,False,15
50,199.1501822613056,0.9899494936611666,False,16
