chain,iter,log_p,dataset
2,6,-3238.369,run5p2wgs_t
1,6,-3126.091,run5p2wgs_t
3,6,-1685.344,run5p2wgs_t
0,6,-153.367,run5p2wgs_t
3,6,-9406.982,run5p3wgs
1,6,-9001.521,run5p3wgs
0,6,-8365.627,run5p3wgs
2,6,-8271.945,run5p3wgs
2,6,-12852.653,run5p3wgs_t
0,6,-12635.365,run5p3wgs_t
3,6,-11741.954,run5p3wgs_t
1,6,-11594.289,run5p3wgs_t
1,6,-12261.332,run5p9wgs
2,6,-11663.596,run5p9wgs
0,6,-11533.833,run5p9wgs
3,6,-11337.659,run5p9wgs
3,6,-16972.494,run5p9wgs_t
0,6,-15771.378,run5p9wgs_t
2,6,-15701.277,run5p9wgs_t
1,6,-14848.682,run5p9wgs_t
1,7,-214.132,run5p2wgs
3,7,-210.029,run5p2wgs
2,7,532.331,run5p2wgs
0,7,1271.227,run5p2wgs
2,7,-3288.182,run5p2wgs_t
1,7,-3066.4,run5p2wgs_t
3,7,-1633.056,run5p2wgs_t
0,7,-111.427,run5p2wgs_t
3,7,-9318.828,run5p3wgs
1,7,-9017.091,run5p3wgs
0,7,-8373.273,run5p3wgs
2,7,-8274.627,run5p3wgs
2,7,-12710.661,run5p3wgs_t
0,7,-12395.865,run5p3wgs_t
1,7,-11730.635,run5p3wgs_t
3,7,-11618.324,run5p3wgs_t
1,7,-12327.508,run5p9wgs
2,7,-11536.241,run5p9wgs
0,7,-11494.315,run5p9wgs
3,7,-11322.818,run5p9wgs
3,7,-16871.086,run5p9wgs_t
2,7,-15622.72,run5p9wgs_t
0,7,-15608.193,run5p9wgs_t
1,7,-14710.662,run5p9wgs_t
1,8,-235.552,run5p2wgs
3,8,-137.561,run5p2wgs
2,8,516.501,run5p2wgs
0,8,1589.181,run5p2wgs
2,8,-3321.455,run5p2wgs_t
1,8,-3181.557,run5p2wgs_t
3,8,-1726.006,run5p2wgs_t
0,8,-37.945,run5p2wgs_t
3,8,-9219.899,run5p3wgs
1,8,-8957.905,run5p3wgs
0,8,-8385.328,run5p3wgs
2,8,-8306.687,run5p3wgs
2,8,-12593.099,run5p3wgs_t
0,8,-12405.19,run5p3wgs_t
1,8,-11707.379,run5p3wgs_t
3,8,-11510.376,run5p3wgs_t
1,8,-12249.065,run5p9wgs
2,8,-11556.102,run5p9wgs
3,8,-11357.613,run5p9wgs
0,8,-11268.827,run5p9wgs
3,8,-16833.11,run5p9wgs_t
0,8,-15610.479,run5p9wgs_t
2,8,-15476.543,run5p9wgs_t
1,8,-14582.335,run5p9wgs_t
3,9,-228.442,run5p2wgs
1,9,-141.147,run5p2wgs
2,9,472.942,run5p2wgs
0,9,1576.993,run5p2wgs
2,9,-3312.33,run5p2wgs_t
1,9,-3211.384,run5p2wgs_t
3,9,-1756.31,run5p2wgs_t
0,9,109.85,run5p2wgs_t
3,9,-9152.552,run5p3wgs
1,9,-8985.848,run5p3wgs
0,9,-8368.64,run5p3wgs
2,9,-8296.972,run5p3wgs
2,9,-12676.241,run5p3wgs_t
0,9,-12293.385,run5p3wgs_t
1,9,-11556.049,run5p3wgs_t
3,9,-11438.917,run5p3wgs_t
1,9,-12225.098,run5p9wgs
2,9,-11418.359,run5p9wgs
3,9,-11329.857,run5p9wgs
0,9,-11313.14,run5p9wgs
3,9,-16768.788,run5p9wgs_t
0,9,-15539.928,run5p9wgs_t
2,9,-15296.38,run5p9wgs_t
1,9,-14609.289,run5p9wgs_t
3,10,-242.812,run5p2wgs
1,10,-92.696,run5p2wgs
2,10,450.451,run5p2wgs
0,10,1592.17,run5p2wgs
2,10,-3400.668,run5p2wgs_t
1,10,-3111.752,run5p2wgs_t
3,10,-1705.687,run5p2wgs_t
0,10,68.831,run5p2wgs_t
3,10,-9127.196,run5p3wgs
1,10,-8957.016,run5p3wgs
0,10,-8412.353,run5p3wgs
2,10,-8302.418,run5p3wgs
2,10,-12609.783,run5p3wgs_t
0,10,-12050.777,run5p3wgs_t
1,10,-11531.391,run5p3wgs_t
3,10,-11387.639,run5p3wgs_t
1,10,-12251.429,run5p9wgs
2,10,-11413.267,run5p9wgs
3,10,-11287.31,run5p9wgs
0,10,-11223.733,run5p9wgs
3,10,-16680.546,run5p9wgs_t
0,10,-15554.572,run5p9wgs_t
2,10,-15247.027,run5p9wgs_t
1,10,-14568.904,run5p9wgs_t
3,11,-166.628,run5p2wgs
1,11,-51.842,run5p2wgs
2,11,471.098,run5p2wgs
0,11,1615.587,run5p2wgs
2,11,-3355.149,run5p2wgs_t
1,11,-3035.396,run5p2wgs_t
3,11,-1656.174,run5p2wgs_t
0,11,151.17,run5p2wgs_t
3,11,-9020.294,run5p3wgs
1,11,-8921.359,run5p3wgs
0,11,-8391.206,run5p3wgs
2,11,-8285.342,run5p3wgs
2,11,-12581.592,run5p3wgs_t
0,11,-12141.849,run5p3wgs_t
1,11,-11593.474,run5p3wgs_t
3,11,-11393.556,run5p3wgs_t
1,11,-12273.667,run5p9wgs
2,11,-11471.9,run5p9wgs
3,11,-11231.073,run5p9wgs
0,11,-11013.374,run5p9wgs
3,11,-16600.699,run5p9wgs_t
0,11,-15497.926,run5p9wgs_t
2,11,-15057.032,run5p9wgs_t
1,11,-14655.248,run5p9wgs_t
3,12,-87.693,run5p2wgs
1,12,-8.844,run5p2wgs
2,12,459.053,run5p2wgs
0,12,1616.739,run5p2wgs
2,12,-3323.133,run5p2wgs_t
1,12,-3245.466,run5p2wgs_t
3,12,-1644.448,run5p2wgs_t
0,12,135.048,run5p2wgs_t
3,12,-8982.403,run5p3wgs
1,12,-8896.028,run5p3wgs
0,12,-8409.36,run5p3wgs
2,12,-8294.685,run5p3wgs
2,12,-12404.822,run5p3wgs_t
0,12,-12198.724,run5p3wgs_t
1,12,-11513.179,run5p3wgs_t
3,12,-11365.78,run5p3wgs_t
1,12,-12208.92,run5p9wgs
2,12,-11417.126,run5p9wgs
3,12,-11223.524,run5p9wgs
0,12,-10895.486,run5p9wgs
3,12,-16513.521,run5p9wgs_t
0,12,-15390.68,run5p9wgs_t
2,12,-15011.244,run5p9wgs_t
1,12,-14538.621,run5p9wgs_t
3,13,-47.95,run5p2wgs
1,13,67.506,run5p2wgs
2,13,446.277,run5p2wgs
0,13,1611.221,run5p2wgs
1,13,-3250.195,run5p2wgs_t
2,13,-3221.813,run5p2wgs_t
3,13,-1623.68,run5p2wgs_t
0,13,195.547,run5p2wgs_t
3,13,-8938.026,run5p3wgs
1,13,-8857.759,run5p3wgs
0,13,-8394.345,run5p3wgs
2,13,-8285.938,run5p3wgs
2,13,-12244.852,run5p3wgs_t
0,13,-12125.453,run5p3wgs_t
1,13,-11489.46,run5p3wgs_t
3,13,-11189.164,run5p3wgs_t
1,13,-12226.373,run5p9wgs
2,13,-11320.597,run5p9wgs
3,13,-11238.753,run5p9wgs
0,13,-10885.67,run5p9wgs
3,13,-16548.878,run5p9wgs_t
0,13,-15345.385,run5p9wgs_t
2,13,-14915.755,run5p9wgs_t
1,13,-14484.228,run5p9wgs_t
3,14,11.936,run5p2wgs
1,14,149.989,run5p2wgs
2,14,468.44,run5p2wgs
0,14,1592.223,run5p2wgs
1,14,-3341.679,run5p2wgs_t
2,14,-3279.744,run5p2wgs_t
3,14,-1568.756,run5p2wgs_t
0,14,172.741,run5p2wgs_t
3,14,-8915.192,run5p3wgs
1,14,-8875.77,run5p3wgs
0,14,-8383.254,run5p3wgs
2,14,-8306.237,run5p3wgs
2,14,-12214.128,run5p3wgs_t
0,14,-12028.001,run5p3wgs_t
1,14,-11356.031,run5p3wgs_t
3,14,-11133.712,run5p3wgs_t
1,14,-12204.672,run5p9wgs
2,14,-11230.5,run5p9wgs
3,14,-11166.364,run5p9wgs
0,14,-10880.364,run5p9wgs
3,14,-16567.951,run5p9wgs_t
0,14,-15310.901,run5p9wgs_t
2,14,-14952.296,run5p9wgs_t
1,14,-14551.827,run5p9wgs_t
1,15,127.041,run5p2wgs
3,15,149.019,run5p2wgs
2,15,436.278,run5p2wgs
0,15,1569.665,run5p2wgs
2,15,-3416.19,run5p2wgs_t
1,15,-3071.1,run5p2wgs_t
3,15,-1602.087,run5p2wgs_t
0,15,284.34,run5p2wgs_t
3,15,-8903.036,run5p3wgs
1,15,-8864.386,run5p3wgs
0,15,-8404.555,run5p3wgs
2,15,-8284.236,run5p3wgs
2,15,-12177.718,run5p3wgs_t
0,15,-12133.061,run5p3wgs_t
1,15,-11311.219,run5p3wgs_t
3,15,-11075.89,run5p3wgs_t
1,15,-12261.076,run5p9wgs
2,15,-11317.804,run5p9wgs
3,15,-11126.586,run5p9wgs
0,15,-10842.849,run5p9wgs
3,15,-16325.208,run5p9wgs_t
0,15,-15203.609,run5p9wgs_t
2,15,-14893.116,run5p9wgs_t
1,15,-14586.058,run5p9wgs_t
1,16,113.889,run5p2wgs
3,16,215.604,run5p2wgs
2,16,469.562,run5p2wgs
0,16,1548.637,run5p2wgs
2,16,-3452.414,run5p2wgs_t
1,16,-3141.985,run5p2wgs_t
3,16,-1608.079,run5p2wgs_t
0,16,358.307,run5p2wgs_t
3,16,-8935.226,run5p3wgs
1,16,-8849.234,run5p3wgs
0,16,-8381.744,run5p3wgs
2,16,-8295.692,run5p3wgs
0,16,-12162.582,run5p3wgs_t
2,16,-11817.046,run5p3wgs_t
1,16,-11307.311,run5p3wgs_t
3,16,-11043.741,run5p3wgs_t
1,16,-12246.161,run5p9wgs
2,16,-11172.27,run5p9wgs
3,16,-11099.488,run5p9wgs
0,16,-10835.255,run5p9wgs
3,16,-16362.48,run5p9wgs_t
0,16,-15191.126,run5p9wgs_t
2,16,-14826.03,run5p9wgs_t
1,16,-14611.452,run5p9wgs_t
1,17,143.45,run5p2wgs
3,17,355.968,run5p2wgs
